src,ref_id,video_id,brand,count,cooc_count,published_at
title,exskLnAJWGQ,exskLnAJWGQ,바세린,1,0,2025-05-28 07:54:32+00
title,EZ47CST5-IA,EZ47CST5-IA,퓌,1,1,2025-11-18 12:41:41+00
title,EZjJpDVst9A,EZjJpDVst9A,에스쁘아,2,0,2026-03-24 11:50:00+00
title,F4YKbP5VvKA,F4YKbP5VvKA,클리오,1,0,2026-08-20 21:40:10+00
title,FCH0kyLMQp0,FCH0kyLMQp0,퓌,1,1,2026-04-29 12:30:16+00
title,fdghZOctFaM,fdghZOctFaM,에스티로더,1,1,2016-05-11 02:42:52+00
title,fdghZOctFaM,fdghZOctFaM,맥,1,1,2016-05-11 02:42:52+00
title,FG3z1tHbDNI,FG3z1tHbDNI,올리브영,1,1,2025-11-29 12:53:10+00
title,fgeMYJ8v5VI,fgeMYJ8v5VI,OOTD,1,0,2024-11-10 09:43:51+00
title,f-J2FQo9XnE,f-J2FQo9XnE,에뛰드,1,0,2018-06-29 08:43:23+00
title,FJh26HEKKc4,FJh26HEKKc4,올리브영,1,1,2025-12-11 11:39:31+00
title,FKuoD74_ydE,FKuoD74_ydE,정샘물,1,1,2026-04-18 12:19:17+00
title,fLL40aPp0aQ,fLL40aPp0aQ,레이어랩,1,1,2026-05-18 11:00:55+00
title,FlN1LmB8oJY,FlN1LmB8oJY,맥,1,1,2026-01-21 14:10:56+00
title,F-m34yd0Jwo,F-m34yd0Jwo,에뛰드,1,1,2026-04-18 12:19:13+00
title,fM5eO9C9UYc,fM5eO9C9UYc,투쿨포스쿨,1,1,2026-04-11 12:48:00+00
title,fM5eO9C9UYc,fM5eO9C9UYc,아떼,1,1,2026-04-11 12:48:00+00
title,fM5eO9C9UYc,fM5eO9C9UYc,힌스,1,1,2026-04-11 12:48:00+00
title,fM5eO9C9UYc,fM5eO9C9UYc,얼터너티브스테레오,1,1,2026-04-11 12:48:00+00
title,fn5kcr-7RKM,fn5kcr-7RKM,헤드앤숄더,1,1,2025-04-20 12:06:34+00
title,fOKVTN6_e38,fOKVTN6_e38,올리브영,1,1,2023-08-05 12:30:33+00
title,Fp0tpidMgHo,Fp0tpidMgHo,올리브영,1,1,2026-02-05 10:45:00+00
title,-fp-iGBX1eU,-fp-iGBX1eU,입생로랑 뷰티,1,1,2021-03-02 12:18:31+00
title,-fp-iGBX1eU,-fp-iGBX1eU,디올,1,1,2021-03-02 12:18:31+00
title,-fp-iGBX1eU,-fp-iGBX1eU,랑콤,1,1,2021-03-02 12:18:31+00
title,fTtOSS7_8GQ,fTtOSS7_8GQ,정샘물,1,1,2026-04-10 10:01:10+00
title,FuIp4gi-jVw,FuIp4gi-jVw,올리브영,1,1,2025-07-18 09:01:41+00
title,-fVb93VtX98,-fVb93VtX98,에스쁘아,1,1,2026-02-21 11:30:00+00
title,fWB4vAduinU,fWB4vAduinU,라네즈,1,1,2025-05-04 11:47:21+00
title,fWXK-iQ4C5o,fWXK-iQ4C5o,리쥬란,2,2,2025-11-08 09:01:09+00
title,Fx7yFPPNLE4,Fx7yFPPNLE4,쥬베룩,1,1,2026-03-11 04:12:23+00
title,fy9n2Xi-c1k,fy9n2Xi-c1k,올리브영,1,0,2024-07-04 12:21:00+00
title,fY_etc5y9iU,fY_etc5y9iU,본셉,1,1,2026-04-26 11:01:02+00
title,FzsiNrazpa8,FzsiNrazpa8,주닥,1,0,2026-05-25 12:17:41+00
title,-G6m4PWMpic,-G6m4PWMpic,라피타,1,0,2026-04-28 07:49:37+00
title,gAGwjGiVjwI,gAGwjGiVjwI,올리브영,1,1,2025-12-03 11:17:47+00
title,GAOHBmu9P9E,GAOHBmu9P9E,OOTD,2,0,2026-02-01 10:55:51+00
title,GbqYyaCM20I,GbqYyaCM20I,메디큐브,1,0,2025-10-27 11:59:01+00
title,gDMHE2ordsM,gDMHE2ordsM,올리브영,1,0,2023-02-23 16:14:21+00
title,G-F2SnI8b0s,G-F2SnI8b0s,올리브영,1,1,2026-03-03 09:35:56+00
title,GFAhpHRy8dg,GFAhpHRy8dg,퓌,1,1,2026-04-14 12:39:16+00
title,gFPvxlHvmuU,gFPvxlHvmuU,아벤느,1,1,2026-03-18 11:57:01+00
title,GgEAyiDJXik,GgEAyiDJXik,디올,1,1,2026-05-23 13:43:11+00
title,GgEAyiDJXik,GgEAyiDJXik,맥,1,1,2026-05-23 13:43:11+00
title,GIQDTEG4_HM,GIQDTEG4_HM,올리브영,1,1,2025-10-19 02:55:44+00
title,gKenvVD9qGs,gKenvVD9qGs,톰,2,0,2025-06-07 12:00:10+00
