product_key,name,board,t_change,price_before,price_after,pct,direction,gap_h,rank_pre6,rank_post6,rank_post12,rank_post24,d6,d12,d24,n_pre,n_post24
A000000246600,[1등 보송젤파우더] 오브제 오일 컨트롤 피니셔 5g 단품,makeup,2026-08-20T15:00:00,15500,15300,-1.3,drop,1,55.3,51.8,70.8,58.7,-3.5,15.5,3.4,3,22
A000000246600,[1등 보송젤파우더] 오브제 오일 컨트롤 피니셔 5g 단품,sale,2026-08-21T16:00:00,15300,15900,3.9,rise,1,66.7,95.8,98.4,99.7,29.2,31.8,33.0,6,24
A000000246600,[1등 보송젤파우더] 오브제 오일 컨트롤 피니셔 5g 단품,mens,2026-08-21T16:00:00,15300,15900,3.9,rise,1,4.5,5.7,23,26.3,1.2,18.5,21.8,6,24
A000000246600,[1등 보송젤파우더] 오브제 오일 컨트롤 피니셔 5g 단품,makeup,2026-08-21T16:00:00,15300,15900,3.9,rise,1,17.7,34.8,67.9,84.5,17.2,50.2,66.8,6,24
A000000246705,[NEW/덱스PICK] 오브제 퍼펙트 커버 쿠션 15g,mens,2026-08-21T16:00:00,25500,34900,36.9,rise,1,28.2,44.8,53,61.0,16.7,24.8,32.9,6,24
A000000246715,[올인원 수분 선크림] 오브제 맥스 워터풀 선크림 300ml,suncare,2026-08-20T15:00:00,21000,21200,1.0,rise,1,30.7,29.4,55.8,57.4,-1.3,25.1,26.7,3,22
A000000246715,[올인원 수분 선크림] 오브제 맥스 워터풀 선크림 300ml,mens,2026-08-20T15:00:00,21000,21200,1.0,rise,1,22,20.4,42.6,44.7,-1.6,20.6,22.7,3,22
A000000246715,[올인원 수분 선크림] 오브제 맥스 워터풀 선크림 300ml,suncare,2026-08-21T16:00:00,21200,31500,48.6,rise,1,61.5,66.5,82.2,91.6,5.0,20.7,30.1,6,24
A000000246715,[올인원 수분 선크림] 오브제 맥스 워터풀 선크림 300ml,mens,2026-08-21T16:00:00,21200,31500,48.6,rise,1,47,58.8,73.6,87.3,11.8,26.6,40.3,6,24
A000000247776,"[NCT 재민PICK] 이즈앤트리 어니언 뉴페어 겔크림 플러스 50ml 기획 (+겔크림 플러스 20ml, 패",skincare,2026-08-22T16:00:00,19710,17900,-9.2,drop,1,25.8,24.7,20.4,17.7,-1.2,-5.4,-8.1,6,16
