kind,key,mentions,likes,like_per_mention,months_present,first,last,videos,channels,max_like,shape,example,example2,example2_like
format×attr,에센스/세럼/앰플 × 기능(지속/커버/보습/미백 등),1,0,0.0,1,2026-04,2026-04,1,1,0,thin,저는 원래 탄력과 미백에 관심이 많았는데 프리메라 비타 세럼 제품 많이 나오길래 구매해 봤었는데 바르고 나면 피부가 쫀쫀해지면서 피부 톤이 화사해지는 느낌이 들더라구요,저는 원래 탄력과 미백에 관심이 많았는데 프리메라 비타 세럼 제품 많이 나오길래 구매해 봤었는데 바르고 나면 피부가 쫀쫀해지면서 피부 톤이 화사해지는 느낌이 들더라구요,0
format×attr,필링/스크럽 × 색상/호수 확장,1,0,0.0,1,2026-04,2026-04,1,1,0,thin,건조해서 각질 부각되기 쉬운 입술에도 편안하게 사용할 수 있을 것 같아요🌷 바르면 자연스럽게 볼륨감이 살아나서 도톰하고 탱글한 입술 표현이 가능할 것 같고 컬러도 로지 모카 베리 레드 베어로 다양하게 나와서 데일리부터 메이크업 후 단독으로 발라도 예쁘고 파데프리 메이크업 할 때 활용도가,건조해서 각질 부각되기 쉬운 입술에도 편안하게 사용할 수 있을 것 같아요🌷 바르면 자연스럽게 볼륨감이 살아나서 도톰하고 탱글한 입술 표현이 가능할 것 같고 컬러도 로지 모카 베리 레드 베어로 다양하게 나와서 데일리부터 메이크업 후 단독으로 발라도 예쁘고 파데프리 메이크업 할 때 활용도가,0
format×attr,툴/소품 × 소용량/미니/휴대,1,0,0.0,0,2025-08,2025-08,1,1,0,thin,레이어랩 전용으로 여행용 파우치나 여행용 패키지도 나오면 좋을것 같아요~,레이어랩 전용으로 여행용 파우치나 여행용 패키지도 나오면 좋을것 같아요~,0
format×attr,선크림 × 워터프루프,1,0,0.0,0,2025-08,2025-08,1,1,0,thin,그리고 워터프루프 선크림도 출시할 계획이 있나요?,그리고 워터프루프 선크림도 출시할 계획이 있나요?,0
format×attr,립틴트/립스틱 × 톤업,1,0,0.0,0,2025-08,2025-08,1,1,0,thin,그리고 😅립스틱이랑 얼굴안색도 가꾸해야해서(풀화장없이) 샹테카이나 톤업도 있으면 좋겠어요,그리고 😅립스틱이랑 얼굴안색도 가꾸해야해서(풀화장없이) 샹테카이나 톤업도 있으면 좋겠어요,0
format×attr,네일,1,0,0.0,1,2026-01,2026-01,1,1,0,thin,롬앤에서 립색이랑 똑같이 해서 네일도 나오면 재밌으면서 너무 좋을것 같아요❤ 부탁드립니다❤,롬앤에서 립색이랑 똑같이 해서 네일도 나오면 재밌으면서 너무 좋을것 같아요❤ 부탁드립니다❤,0
format×attr,아이라이너/마스카라/브로우 × 색상/호수 확장,1,0,0.0,1,2026-01,2026-01,1,1,0,thin,붓펜라이너인데 엄청 옅은 뮤트톤들 라이트톤들 쓰기좋은 라이너 나오면 좋을거같아요ㅠㅠ,붓펜라이너인데 엄청 옅은 뮤트톤들 라이트톤들 쓰기좋은 라이너 나오면 좋을거같아요ㅠㅠ,0
format×attr,프라이머/베이스 × 계절/기후,1,0,0.0,1,2026-01,2026-01,1,1,0,thin,겨울에 맞춰서 건조함을 잡아줄 수 있는 촉촉하면서 피부결 좋아보이는 베이스 제품이 나오길 바랍니다😊,겨울에 맞춰서 건조함을 잡아줄 수 있는 촉촉하면서 피부결 좋아보이는 베이스 제품이 나오길 바랍니다😊,0
format×attr,아이라이너/마스카라/브로우 × 기능(지속/커버/보습/미백 등),1,0,0.0,1,2026-01,2026-01,1,1,0,thin,색조 맛집 롬앤이 각잡고 번짐없고 지속 짱짱한데 자연스러운 트임라이너펜 만들어주시면 너무 좋을 것 같네욯ㅎㅎㅎ,색조 맛집 롬앤이 각잡고 번짐없고 지속 짱짱한데 자연스러운 트임라이너펜 만들어주시면 너무 좋을 것 같네욯ㅎㅎㅎ,0
format×attr,블러셔 × 가격/가성비,1,0,0.0,1,2026-01,2026-01,1,1,0,thin,롬앤에서 기름지지 않은 얇은 광을 내주는 크림블러셔 출시해주시면 너무 좋을 것 같아요!!❤️ 항상 합리적인 가격으로 코덕들 심장 뛰게 만드는 제품들 많이 만들어주셔서 감사합니다🤍🤍,롬앤에서 기름지지 않은 얇은 광을 내주는 크림블러셔 출시해주시면 너무 좋을 것 같아요!!❤️ 항상 합리적인 가격으로 코덕들 심장 뛰게 만드는 제품들 많이 만들어주셔서 감사합니다🤍🤍,0
