comment_id,video_id,published_at,like_count,class,brand,format,attribute,text
Ugw_j2kJ9giahl--VIl4AaABAg,sn4GpH3KEto,2024-08-22,9,b,,,,리흔이 진짜 날이 갈수록 예뻐지는 게 느껴지네요❤❤  평소에 뷰티 컨텐츠를 정말 좋아해서 자주 챙겨보고 있었는데 리흔이가 요즘 뷰티 컨텐츠를 자주 업로드 해줘서 너무 좋아요!!
Ugy9l4q03T6vw1rvENh4AaABAg,iTxO7d3TqUI,2026-02-22,3,b,,툴/소품,,여행조심히 다녀오세요❤ 나중에 니흔이 언니 파우치들 소개 해주세용..!
UgzXNWcZg3BbdKoAnv14AaABAg,iTxO7d3TqUI,2026-03-22,0,b,,,,캐리어 정보 궁금해요!!!!
Ugwr_aisZTWPyDHKj8F4AaABAg,qLVVQCYGxX8,2025-08-22,6,b,,,색상/호수 확장,갈웜톤 메이크업 한번 해주시면 헐 나으실거 같아요
UgzkLegjoYI0Q1WtPmt4AaABAg,Flrc40tIc_s,2025-08-22,4,b,올리브영,,,다음편에는 올리브영제품으로 화장하기 해주세요
UgweBMGXRwAeSqdRaVt4AaABAg,Flrc40tIc_s,2025-08-22,1,b,,,,닌니 후드집업 정보 좀 주세요ㅠㅠ
UgxSOerNWWeuim0LxBt4AaABAg,Flrc40tIc_s,2025-08-22,9,b,다이소,,,오 라이브에서 어떤분이 다이소화장품만으로 화장해달라고 하셧던데 진짜 찍으셧네용!!
Ugx7-Ccp3gvyU_lwTCF4AaABAg,Flrc40tIc_s,2025-08-22,4,b,,,국내출시/입점/유통,닌니님 핸드폰 교체 하는 영상도 올려 주세요  2025년 2월 7일 날에  삼성 갤럭시 S25 시리즈도 국내 출시를 했더라구요
UgxfAe3TIIzz20hSSN54AaABAg,Flrc40tIc_s,2025-08-22,2,b,,,,후드집업 정보 주시면 감사하겠습니다 ㅠ
UgyRa4eH1-AuXkQ6s6J4AaABAg,Flrc40tIc_s,2025-08-22,2,b,,,,가흔이 메이크업도 보고싶다 ㅎㅎ
UgwmDkbWd2pAGh1NqV94AaABAg,QIVSg2y7iBw,2026-06-22,0,b,,,,영상에 제품명이 잘 안보이는데 댓글에 적어주실수있을까요?
UgyFNATfpW8xZYjvV7F4AaABAg,QIVSg2y7iBw,2025-12-22,35,b,네이밍,파우더,색상/호수 확장,"영상에 등장한 화장품 브랜드 모아봄  구달, 네이밍, 에뛰드 9회, 디어달리아, 다이소 3회, 라네즈, 이니스프리, 웨이크메이크 2회, 페리페라 10회, 키스미, 홀리카홀리카, 바닐라코 2회, 컬러그램 7회, 티르티르 2회, 롬앤 3회, 클리오 2회, 데이지크, 설화수, 구찌, 크리니크, 릴리바이레드, 투쿨포스쿨 4회, 어노브, 헤라 3회, 디올 2회, 파넬, 더샘, 삐아, 아벤느, 3CE, 캔메이크, (민서 파우더는 몰라요) + 안적은 거 있음 알려주면 추가해요 (이상 코덕인 자의 리포트였습니다.)"
Ugy4V2nWdMu1xmX67k54AaABAg,QIVSg2y7iBw,2025-12-22,31,b,,,,이 멤버 분들로 왓츠 인 마이 백도 해주세용!!
UgzHfZVUoCcfTAXxA-14AaABAg,62SdWA2eP5E,2026-08-01,4,b,,,,오늘 메컵 어케햇는지 영상찍어주세요
Ugxr7UIi4rippmETCuN4AaABAg,62SdWA2eP5E,2026-08-01,0,b,,,,상의정보부탁드려요♡_♡
UgxKBsxsASvlQhyXToB4AaABAg,62SdWA2eP5E,2026-08-08,0,b,,,,사고 싶어요🥹❤️ 혹시 상의 너무 예쁜데 정보 부탁드릴수있을까요??
UgxWpAtw4E8JaEsSMJZ4AaABAg,Ju3sYGeaOhk,2026-05-22,1300,b,,,,마케팅도 꽤 열심히 하는 것 같고 무엇보다도 제품 소개 문구들이 특이해서 꼭 비비언니의 리뷰가 보고싶어요!
